,EMOTION-FACES-SHAPES,GAMBLING-REWARD,LANGUAGE-STORY-MATH,MOTOR-AVG,RELATIONAL-REL,SOCIAL-TOM,WM-2BK
TGC 88,0.03904532018409344,0.18389295072887382,0.08201426503817132,-0.04439193549429236,-0.014603441649333337,-0.012415205347166757,0.10232548855341685
TGC 89,0.029087388125706284,0.17639458742208772,0.2596886665479346,0.14159775005786976,0.18881265674210246,0.14381510520537308,0.13012022916046417
TGC 90,0.04501741129926429,0.18721637123654836,0.27509014362778184,0.11218601437494745,0.2582211600691298,0.23821379716959518,0.1728734435946822
TGC 91,-0.11036110374353483,-0.19677138320192047,-0.3265295356048495,-0.16428955388659142,-0.27212082209012195,-0.2744457757632132,-0.15937688757594806
TGC 92,-0.032327779437813856,-0.0760746379095943,-0.1238942815783472,-0.09288989404852245,-0.07278574528723145,-0.13600969810212662,-0.004576510236129799
TGC 93,-0.0397422010114593,0.02174142389701851,0.07214328609506841,0.055345986980639056,0.1550061934383329,0.06425987327922453,0.09392066290062098
TGC 94,0.06813930206551992,0.13678385748166044,0.05373712443244498,-0.03680711744031644,0.10737524299390744,-0.0550538728011424,0.04448628594993953
TGC 95,0.09409365677503716,0.19745464448926245,0.15875378166877327,0.11883103128254645,0.2121222686479062,0.14270772407120022,0.17380831661826154
TGC 96,0.10668000451104159,0.07378042832778388,0.2947760106800269,0.07415317331903146,0.09696846691633314,0.1103155775323068,0.1014360960030373
TGC 97,0.0029212437187654764,-0.12260024523205369,-0.13994694614398762,-0.05130787610152254,-0.20664483809041392,-0.1862242226975407,-0.13096340959484257
TGC 98,-0.07176759303844896,-0.06376960993828042,0.06352982719980142,0.01000937916377131,-0.007437399605584802,-0.11172186755495446,0.00022410895668137408
TGC 99,0.10212785282469948,0.057527896518325974,-0.03615600210740804,0.12218658369786214,-0.00834931851031688,-0.056644744401707796,0.10182597339951235
TGC 100,0.018331939082392206,-0.043692771881772834,0.0126912449700523,0.0324935297343803,0.07697835924342107,0.06782870460628859,-0.004286098215487437
