interview_age,SmoothedValue,UpperCI,LowerCI,ModeName,Derivative,Curvature
11.39670659,44.3623149,44.78142234,43.94320745,Mode4,-0.064644418,-0.021109182
11.47954092,44.35705493,44.77487875,43.93923111,Mode4,-0.062343813,0.037735296
11.56237525,44.35198836,44.76884333,43.9351334,Mode4,-0.059975021,0.022417024
11.64520958,44.34712081,44.76330978,43.93093183,Mode4,-0.057539027,0.029515776
11.72804391,44.34245778,44.75827071,43.92664485,Mode4,-0.055036881,0.005977986
11.81087824,44.33800472,44.75371773,43.9222917,Mode4,-0.0524697,0.0259664
11.89371257,44.33376696,44.74964161,43.91789232,Mode4,-0.049838324,0.037735296
11.97654691,44.32974983,44.74603243,43.91346724,Mode4,-0.047143136,0.014197505
12.05938124,44.32595855,44.74287964,43.90903747,Mode4,-0.044385361,0.022417024
12.14221557,44.32239826,44.74017221,43.90462431,Mode4,-0.041566334,-0.029328701
12.2250499,44.31907397,44.73789874,43.9002492,Mode4,-0.038687441,0.029515776
12.30788423,44.31599058,44.73604752,43.89593363,Mode4,-0.035750099,0.037735296
12.39071856,44.31315287,44.73460673,43.89169902,Mode4,-0.032755773,0.012422817
12.47355289,44.31056551,44.73356443,43.88756658,Mode4,-0.029705979,0.035960608
12.55638723,44.30823302,44.73290877,43.88355727,Mode4,-0.02660189,0.027741088
12.63922156,44.3061599,44.73262804,43.87969177,Mode4,-0.023443587,0.0259664
12.72205589,44.30435064,44.73271076,43.87599053,Mode4,-0.020231438,0.039509984
12.80489022,44.30280963,44.73314575,43.87247352,Mode4,-0.016967011,0.073041982
12.88772455,44.30154114,44.73392211,43.86916017,Mode4,-0.013651978,0.014197505
12.97055888,44.30054928,44.73502927,43.86606929,Mode4,-0.01028806,0.027741088
13.05339321,44.29983803,44.73645705,43.86321902,Mode4,-0.006876993,0.039509984
13.13622754,44.29941123,44.73819566,43.8606268,Mode4,-0.003420537,0.047729503
13.21906188,44.29927256,44.74023577,43.85830935,Mode4,7.95E-05,-0.007565598
13.30189621,44.29942556,44.7425685,43.85628262,Mode4,0.003621369,0.015972193
13.38473054,44.29987361,44.74518543,43.8545618,Mode4,0.007203173,0.026853744
13.46756487,44.30061995,44.74807861,43.8531613,Mode4,0.010823086,0.062160431
